	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	roberta-large	Business	1.0	0.03468208092485549	0.0670391061452514	1.0	0.03468208092485549	0.0670391061452514	0.03468208092485549
1	roberta-large	Sci/Tech	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	roberta-large	Sports	1.0	0.29577464788732394	0.45652173913043476	1.0	0.29577464788732394	0.45652173913043476	0.29577464788732394
3	roberta-large	World	1.0	0.7594339622641509	0.8632707774798928	1.0	0.7594339622641509	0.8632707774798928	0.7594339622641509
